=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.07.02 18:58:49 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.A05.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
1134, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1144, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1154, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1164, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1174, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1184, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1195, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1205, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1215, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1225, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1235, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1245, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1255, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1265, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1275, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1285, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1295, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1305, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1315, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1325, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1335, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1345, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1355, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1366, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1376, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1386, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1396, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1406, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1416, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1426, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1436, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1446, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1456, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1466, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1476, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1486, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1496, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1506, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1516, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1526, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1536, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1546, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1556, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1566, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1576, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1586, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1596, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1606, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1616, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1626, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1636, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1646, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1656, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1666, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1676, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1686, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1696, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1707, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1717, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1727, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1737, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1747, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1757, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1767, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1777, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1787, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1797, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1807, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1817, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1827, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1837, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1847, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1857, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1867, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1878, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1888, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1898, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1908, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1918, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1928, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1938, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1948, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1958, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1968, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1978, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1988, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1998, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
2008, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2018, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2028, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2038, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2048, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2058, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2068, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2078, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2088, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2098, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2108, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2118, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2128, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2138, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2148, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2158, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2168, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2178, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2188, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2198, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2208, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2219, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2229, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2239, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2249, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2259, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2269, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2279, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2289, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2299, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2309, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2319, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2329, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2339, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2349, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2359, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2369, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2379, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2390, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2400, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2410, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2420, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2430, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2440, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2450, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2460, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2470, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2480, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2490, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2500, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2510, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2520, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2530, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2540, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2550, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2560, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2570, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2580, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2590, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2600, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
