=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:45:29 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Tem..39, 22.00, 0.05, 0.02, STANDBY, NONE
1496, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1506, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1516, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1526, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
1536, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1546, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1556, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
1566, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1576, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1586, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1596, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
1606, 0.00, 22.00, 0.05, 0.01, STANDBY, NONE
1616, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1626, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1636, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1646, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1656, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1666, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1676, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1686, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1696, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1707, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1717, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
1727, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1737, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1747, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1757, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1767, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
1777, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1787, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1797, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1807, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1817, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1827, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1837, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1847, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1857, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1867, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1878, -0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1888, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1898, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1908, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1918, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1928, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
1938, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1948, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1958, 0.00, 21.00, 0.00, 0.01, STANDBY, NONE
1968, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1978, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1988, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
1998, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2008, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2018, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2028, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2038, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2048, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2058, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2068, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2078, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2088, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2098, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2108, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
2118, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2128, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2138, 0.39, 22.00, 0.00, 0.02, STANDBY, NONE
2148, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2158, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2168, 0.00, 22.00, 0.00, 0.02, STANDBY, NONE
2178, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2188, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
2198, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2208, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2219, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2229, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2239, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2249, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2259, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2269, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2279, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2289, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2299, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2309, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2319, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2329, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2339, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2349, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2359, -0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2369, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2379, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2390, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2400, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2410, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2420, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2430, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2440, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
2450, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2460, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2470, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2480, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2490, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2500, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2510, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2520, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2530, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2540, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2550, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2560, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2570, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2580, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2590, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2600, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2610, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
