=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:49:57 =~=~=~=~=~=~=~=~=~=~=~=
LARM, HIGH_FC_PRES_DELAYED
1878, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1888, 0.00, 23.00, 17.49, 0.47, STANDBY, NONE
1898, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1908, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1918, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1928, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1938, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1948, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
1958, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1968, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1978, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1988, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1998, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2008, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2018, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
2028, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2038, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
2048, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2058, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2068, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
2078, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2088, 0.00, 22.00, 17.52, 0.47, STANDBY, NONE
2098, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2108, 0.00, 23.00, 17.49, 0.47, STANDBY, NONE
2118, 0.78, 23.00, 17.52, 0.47, STANDBY, NONE
2128, 0.78, 23.00, 17.52, 0.47, STANDBY, NONE
2138, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2148, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2158, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2168, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
2178, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
2188, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2198, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2208, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
2219, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2229, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
2239, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2249, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2259, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2269, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2279, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2289, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2299, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2309, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2319, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2329, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2339, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2349, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2359, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2369, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2379, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2390, 0.39, 24.00, 17.55, 0.47, STANDBY, NONE
2400, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2410, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2420, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2430, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2440, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2450, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2460, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
2470, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
2480, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2490, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2500, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2510, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2520, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2530, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2540, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2550, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2560, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2570, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2580, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2590, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2600, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2610, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2620, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2630, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2640, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2650, 0.39, 23.00, 17.49, 0.47, STANDBY, NONE
2660, 0.00, 23.00, 17.49, 0.47, STANDBY, NONE
2670, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2680, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2690, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2700, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2710, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2720, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2731, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
2741, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2751, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2761, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2771, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2781, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2791, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2801, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
2811, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2821, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2831, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2841, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
2851, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2861, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
2871, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2881, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2891, 0.78, 23.00, 17.52, 0.47, STANDBY, NONE
2902, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2912, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2922, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2932, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
2942, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
2952, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
2962, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2972, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
2982, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
2992, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3002, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3012, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3022, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3032, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3042, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3052, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3062, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3072, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3082, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3092, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3102, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3112, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
3122, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3132, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3142, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3152, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3162, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3172, 0.00, 23.00, 17.49, 0.46, STANDBY, NONE
3182, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3192, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3202, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3212, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
3222, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
3232, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
3243, 0.00, 23.00, 17.49, 0.46, STANDBY, NONE
3253, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
3263, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3273, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
3283, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
3293, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
3303, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3313, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3323, 0.39, 24.00, 17.52, 0.46, STANDBY, NONE
3333, 0.00, 23.00, 17.55, 0.46, STANDBY, NONE
3343, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3353, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3363, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3373, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3383, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3393, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3403, 0.00, 23.00, 17.49, 0.46, STANDBY, NONE
3414, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3424, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3434, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3444, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3454, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3464, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3474, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3484, 0.00, 23.00, 17.49, 0.46, STANDBY, NONE
3494, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
3504, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3514, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3524, 0.78, 24.00, 17.52, 0.46, STANDBY, NONE
3534, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
3544, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3554, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3564, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3574, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
3584, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3594, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3604, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3614, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3624, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3634, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
3644, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3654, 0.39, 23.00, 17.57, 0.46, STANDBY, NONE
3664, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3674, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3684, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3694, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3704, 0.00, 23.00, 17.49, 0.46, STANDBY, NONE
3714, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3724, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3734, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3744, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3755, 0.78, 24.00, 17.52, 0.46, STANDBY, NONE
3765, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3775, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
3785, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3795, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
3805, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3815, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3825, 0.00, 23.00, 17.49, 0.46, STANDBY, NONE
3835, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3845, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3855, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
3865, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3875, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3885, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3895, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3905, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3915, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3926, 0.00, 23.00, 17.49, 0.46, STANDBY, NONE
3936, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
3946, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3956, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
3966, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3976, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3986, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
3996, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4006, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
4016, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4026, 0.00, 23.00, 17.49, 0.46, STANDBY, NONE
4036, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
4046, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
4056, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4066, 0.39, 23.00, 17.52, 0.45, STANDBY, NONE
4076, 0.78, 23.00, 17.49, 0.46, STANDBY, NONE
4086, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
4096, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4106, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4116, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
4126, 0.00, 23.00, 17.49, 0.46, STANDBY, NONE
4136, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4146, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4156, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4166, 0.00, 23.00, 17.52, 0.46, STANDBY, NONE
4176, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4186, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4196, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
4206, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4216, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4226, 0.39, 23.00, 17.49, 0.46, STANDBY, NONE
4236, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4246, 0.39, 23.00, 17.52, 0.46, STANDBY, NONE
4256, 0.39, 23.00, 17.55, 0.46, STANDBY, NONE
