=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.24 16:14:27 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., Voltage,  NDBY, NONE
3684, -0.39, 25.00, 17.34, -0.06, STANDBY, NONE
3694, 0.00, 25.00, 17.36, -0.03, STANDBY, NONE
3704, 0.00, 25.00, 17.34, -0.06, STANDBY, NONE
3714, 0.00, 25.00, 17.34, -0.03, STANDBY, NONE
3724, 0.00, 25.00, 17.34, -0.03, STANDBY, NONE
3734, 0.00, 25.00, 17.34, -0.06, STANDBY, NONE
3744, 0.00, 25.00, 17.34, -0.06, STANDBY, NONE
3755, 0.00, 25.00, 17.34, -0.06, STANDBY, NONE
3765, 0.00, 25.00, 17.39, -0.03, STANDBY, NONE
3775, 0.00, 25.00, 17.34, -0.06, STANDBY, NONE
3785, 0.00, 24.00, 17.36, -0.06, STANDBY, NONE
3795, 0.00, 25.00, 17.31, -0.06, STANDBY, NONE
3805, 0.00, 25.00, 17.36, -0.03, STANDBY, NONE
3815, 0.00, 25.00, 17.34, -0.06, STANDBY, NONE
3825, 0.00, 25.00, 17.36, -0.06, STANDBY, NONE
3835, 0.00, 25.00, 17.36, -0.06, STANDBY, NONE
3845, -0.39, 25.00, 17.34, -0.06, STANDBY, NONE
3855, 0.00, 25.00, 17.34, -0.03, STANDBY, NONE
3865, -0.39, 24.00, 17.36, -0.09, STANDBY, NONE
3875, 0.00, 25.00, 17.34, -0.06, STANDBY, NONE
3885, -0.39, 25.00, 17.36, -0.03, STANDBY, NONE
3895, 0.00, 25.00, 17.36, -0.09, STANDBY, NONE
3905, -0.39, 25.00, 17.36, -0.06, STANDBY, NONE
3915, 0.00, 25.00, 17.34, -0.03, STANDBY, NONE
3926, 0.00, 25.00, 17.36, -0.03, STANDBY, NONE
3936, 0.00, 25.00, 17.31, -0.06, STANDBY, NONE
3946, 0.00, 25.00, 17.36, -0.03, STANDBY, NONE
3956, 0.00, 25.00, 17.31, -0.03, STANDBY, NONE
3966, 0.00, 25.00, 17.36, -0.03, STANDBY, NONE
3976, 0.00, 25.00, 17.34, -0.03, STANDBY, NONE
3986, 0.00, 25.00, 17.39, -0.03, STANDBY, NONE
3996, 0.00, 25.00, 17.34, -0.06, STANDBY, NONE
4006, 0.00, 24.00, 17.36, -0.03, STANDBY, NONE
4016, 0.00, 25.00, 17.31, -0.03, STANDBY, NONE
4026, 0.00, 24.00, 17.36, -0.03, STANDBY, NONE
4036, -0.39, 24.00, 17.31, -0.03, STANDBY, NONE
4046, 0.00, 24.00, 17.36, -0.06, STANDBY, NONE
4056, 0.00, 25.00, 17.39, -0.03, STANDBY, NONE
4066, 0.00, 25.00, 17.34, -0.03, STANDBY, NONE
4076, 0.00, 25.00, 17.31, -0.06, STANDBY, NONE
4086, 0.00, 24.00, 17.36, -0.06, STANDBY, NONE
4096, 0.00, 25.00, 17.34, -0.03, STANDBY, NONE
4106, 0.00, 24.00, 17.34, -0.06, STANDBY, NONE
4116, -0.39, 25.00, 17.36, -0.03, STANDBY, NONE
4126, -0.39, 24.00, 17.34, -0.06, STANDBY, NONE
4136, 0.00, 25.00, 17.31, -0.03, STANDBY, NONE
4146, 0.00, 24.00, 17.34, -0.03, STANDBY, NONE
4156, -0.39, 25.00, 17.36, -0.06, STANDBY, NONE
4166, -0.39, 25.00, 17.39, -0.03, STANDBY, NONE
4176, 0.00, 25.00, 17.34, -0.03, STANDBY, NONE
4186, -0.39, 25.00, 17.39, -0.03, STANDBY, NONE
4196, -0.39, 24.00, 17.34, -0.06, STANDBY, NONE
4206, 0.00, 25.00, 17.34, -0.03, STANDBY, NONE
4216, 0.00, 25.00, 17.36, -0.06, STANDBY, NONE
4226, 0.00, 25.00, 17.39, -0.03, STANDBY, NONE
4236, 0.00, 25.00, 17.31, -0.03, STANDBY, NONE
