=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:26:02 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., Voltage, 0ANDBY, NONE
1536, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
1546, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
1556, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
1566, 0.78, 22.00, 0.00, 0.01, STANDBY, NONE
1576, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
1586, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1596, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
1606, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
1616, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
1626, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
1636, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
1646, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
1656, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
1666, 1.95, 22.00, 0.00, 0.01, STANDBY, NONE
1676, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
1686, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1696, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
1707, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
1717, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
1727, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
1737, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
1747, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
1757, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
1767, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1777, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
1787, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1797, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
1807, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
1817, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1827, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1837, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1847, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
1857, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
1867, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1878, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1888, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
1898, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
1908, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
1918, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
1928, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
1938, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
1948, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1958, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1968, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1978, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1988, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
1998, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
2008, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2018, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2028, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2038, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2048, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2058, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2068, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2078, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2088, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2098, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2108, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2118, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2128, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2138, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2148, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2158, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2168, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2178, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
2188, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2198, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2208, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
2219, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2229, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2239, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2249, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2259, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2269, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2279, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2289, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
2299, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2309, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2319, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
2329, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
2339, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
2349, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2359, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2369, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2379, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
2390, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
2400, 1.56, 22.00, 0.16, 0.01, STANDBY, NONE
2410, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2420, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2430, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
