=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.25 10:00:56 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., Volt0 0.39A. HFCC is: 0ms. Int'vl is: 11ms. 10934, 0.39, 21.00, 0.26, 0.00, STANDBY, TANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 727, 0.00, 21.00, 0.00, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 737, 0.00, 21.00, 0.03, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 9ms. 747, 0.00, 21.00, 0.23, -0.09, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 757, 0.00, 21.00, 0.28, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 6ms. 773, 0.00, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 11ms. 783, 0.00, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 793, 0.00, 21.00, 0.03, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 803, 0.00, 21.00, 0.00, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 814, 0.00, 21.00, 0.08, -0.03, STANDBY, NONE
checkAlarms() measures current at: -0.39A. HFCC is: 0ms. Int'vl is: 10ms. 824, 0.39, 21.00, 0.00, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 834, 0.00, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 6ms. 849, 0.00, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 860, 0.00, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 870, 0.00, 21.00, 0.23, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 880, 0.00, 21.00, 0.03, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 890, 0.00, 21.00, 0.00, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 9ms. 901, 0.00, 21.00, 0.28, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 11ms. 911, 0.00, 21.00, 0.23, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 6ms. 926, 0.00, 21.00, 0.21, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 936, 0.00, 21.00, 0.00, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 947, 0.00, 21.00, 0.05, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 957, 0.00, 21.00, 0.18, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 9ms. 967, 0.00, 21.00, 0.23, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 977, 0.00, 21.00, 0.26, 0.00, STANDBY, NONE
