=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 15:36:44 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., VoltageB-0.12, STANDBY, NONE
2158, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2168, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2178, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2188, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2198, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2208, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2219, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2229, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2239, 528, 24.00, 16.61, -0.14, STANDBY, NONE
2249, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2259, 529, 24.00, 16.61, -0.14, STANDBY, NONE
2269, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2279, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2289, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2299, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2309, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2319, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2329, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2339, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2349, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2359, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2369, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2379, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2390, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2400, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2410, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2420, 530, 24.00, 16.61, -0.14, STANDBY, NONE
2430, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2440, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2450, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2460, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2470, 529, 24.00, 16.59, -0.14, STANDBY, NONE
