=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:51:08 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., Voltage, Pr23.00, 16.28, 0.75, ALARM, HIGH_FC_PRES
1606, 0.39, 23.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1616, 0.39, 23.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
1626, 0.39, 24.00, 17.39, 0.73, ALARM, HIGH_FC_PRES
1636, 0.39, 24.00, 17.36, 0.72, ALARM, HIGH_FC_PRES
1646, 0.39, 23.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1656, 0.39, 24.00, 17.36, 0.72, ALARM, HIGH_FC_PRES
1666, 0.78, 24.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1676, 0.39, 24.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1686, 0.39, 23.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1696, 0.39, 24.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1707, 0.39, 23.00, 17.36, 0.72, ALARM, HIGH_FC_PRES
1717, 0.39, 24.00, 17.36, 0.72, ALARM, HIGH_FC_PRES
1727, 0.00, 23.00, 17.36, 0.72, ALARM, HIGH_FC_PRES
1737, 0.39, 23.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1747, 0.39, 24.00, 17.39, 0.73, ALARM, HIGH_FC_PRES
1757, 0.39, 24.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1767, 0.39, 23.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1777, 0.39, 23.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1787, 0.39, 23.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1797, 0.39, 24.00, 17.36, 0.72, ALARM, HIGH_FC_PRES
1807, 0.39, 23.00, 17.39, 0.73, ALARM, HIGH_FC_PRES
1817, 0.00, 24.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1827, 0.39, 23.00, 17.39, 0.73, ALARM, HIGH_FC_PRES
1837, 0.39, 24.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
1847, 0.78, 24.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
1857, 0.39, 24.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1867, 0.39, 24.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1878, 0.39, 23.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1888, 0.39, 24.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
1898, 0.39, 23.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
1908, 0.39, 24.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
1918, 0.39, 24.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
1928, 0.39, 23.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1938, 0.39, 23.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1948, 0.39, 24.00, 17.44, 0.72, ALARM, HIGH_FC_PRES
1958, 0.00, 23.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
1968, 0.39, 23.00, 17.39, 0.73, ALARM, HIGH_FC_PRES
1978, 0.39, 23.00, 17.39, 0.73, ALARM, HIGH_FC_PRES
1988, 0.39, 24.00, 17.39, 0.73, ALARM, HIGH_FC_PRES
1998, 0.39, 24.00, 17.44, 0.73, ALARM, HIGH_FC_PRES
2008, 0.39, 24.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
2018, 0.39, 24.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
2028, 0.39, 24.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2038, 0.39, 24.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2048, 0.39, 24.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2058, 0.39, 24.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
2068, 0.39, 24.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2078, 0.00, 23.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2088, 0.39, 24.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2098, 0.39, 23.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
2108, 0.39, 24.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
2118, 0.39, 24.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
2128, 0.39, 24.00, 17.42, 0.72, ALARM, HIGH_FC_PRES
2138, 0.78, 24.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2148, 0.39, 24.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2158, 0.00, 23.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2168, 0.39, 23.00, 17.42, 0.73, ALARM, HIGH_FC_PRES
2178, 0.39, 24.00, 17.44, 0.72, ALARM, HIGH_FC_PRES
2188, 0.78, 24.00, 17.44, 0.72, ALARM, HIGH_FC_PRES
