=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.30 16:03:26 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.5, -40.00, 0.54, -0.97, ALARM, LOW_FC_TEMP
1526, 6.25, -40.00, 0.54, -0.25, ALARM, LOW_FC_TEMP
1536, 5.86, -40.00, 0.62, -0.80, ALARM, LOW_FC_TEMP
1546, 6.25, -40.00, 0.52, -0.22, ALARM, LOW_FC_TEMP
1556, 5.86, -40.00, 0.54, -0.82, ALARM, LOW_FC_TEMP
1566, 6.64, -40.00, 0.54, -0.26, ALARM, LOW_FC_TEMP
1576, 5.86, -40.00, 0.57, -0.77, ALARM, LOW_FC_TEMP
1586, 6.64, -40.00, 0.49, -0.24, ALARM, LOW_FC_TEMP
1596, 5.86, -40.00, 0.54, -0.82, ALARM, LOW_FC_TEMP
1606, 6.25, -40.00, 0.34, -0.22, ALARM, LOW_FC_TEMP
1616, 5.86, -40.00, 0.52, -0.79, ALARM, LOW_FC_TEMP
1626, 6.64, -40.00, 0.54, -0.24, ALARM, LOW_FC_TEMP
1636, 5.86, -40.00, 0.54, -0.81, ALARM, LOW_FC_TEMP
1646, 6.25, -40.00, 0.54, -0.26, ALARM, LOW_FC_TEMP
1656, 5.86, -40.00, 0.60, -0.78, ALARM, LOW_FC_TEMP
1666, 6.25, -40.00, 0.54, -0.23, ALARM, LOW_FC_TEMP
1676, 5.86, -40.00, 0.47, -0.85, ALARM, LOW_FC_TEMP
1686, 6.25, -40.00, 0.54, -0.25, ALARM, LOW_FC_TEMP
1696, 6.25, -40.00, 0.57, -0.79, ALARM, LOW_FC_TEMP
1707, 6.25, -40.00, 0.52, -0.31, ALARM, LOW_FC_TEMP
1717, 6.25, -40.00, 0.54, -0.78, ALARM, LOW_FC_TEMP
1727, 5.86, -40.00, 0.54, -0.39, ALARM, LOW_FC_TEMP
1737, 5.86, -40.00, 0.57, -0.80, ALARM, LOW_FC_TEMP
1747, 6.25, -40.00, 0.54, -0.50, ALARM, LOW_FC_TEMP
1757, 6.25, -40.00, 0.39, -0.84, ALARM, LOW_FC_TEMP
1767, 6.25, -40.00, 0.52, -0.32, ALARM, LOW_FC_TEMP
1777, 6.25, -40.00, 0.52, -0.78, ALARM, LOW_FC_TEMP
1787, 6.25, -40.00, 0.54, -0.44, ALARM, LOW_FC_TEMP
1797, 5.86, -40.00, 0.57, -0.80, ALARM, LOW_FC_TEMP
1807, 6.25, -40.00, 0.54, -0.32, ALARM, LOW_FC_TEMP
1817, 6.25, -40.00, 0.60, -0.77, ALARM, LOW_FC_TEMP
1827, 6.25, -40.00, 0.54, -0.41, ALARM, LOW_FC_TEMP
1837, 5.86, -40.00, 0.54, -0.82, ALARM, LOW_FC_TEMP
1847, 6.25, -40.00, 0.41, -0.28, ALARM, LOW_FC_TEMP
1857, 6.64, -40.00, 0.60, -0.79, ALARM, LOW_FC_TEMP
1867, 6.25, -40.00, 0.44, -0.40, ALARM, LOW_FC_TEMP
1878, 5.86, -40.00, 0.60, -0.79, ALARM, LOW_FC_TEMP
1888, 5.86, -40.00, 0.26, -0.48, ALARM, LOW_FC_TEMP
1898, 6.25, -40.00, 0.60, -0.79, ALARM, LOW_FC_TEMP
1908, 6.25, -40.00, 0.54, -0.56, ALARM, LOW_FC_TEMP
1918, 6.25, -40.00, 0.54, -0.80, ALARM, LOW_FC_TEMP
1928, 5.86, -40.00, 0.41, -0.44, ALARM, LOW_FC_TEMP
