=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.24 16:19:51 =~=~=~=~=~=~=~=~=~=~=~=
81056, 0.00, 28.00, 10.66, -0.53, ALARM, L6_VOLTAGE
2570, -0.39, 27.00, 0.93, -0.41, STANDBY, NONE
2580, 0.00, 27.00, 0.75, -0.37, STANDBY, NONE
2590, 0.00, 27.00, 0.75, -0.37, STANDBY, NONE
2600, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
2610, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
2620, 0.00, 27.00, 0.88, -0.37, STANDBY, NONE
2630, 0.00, 27.00, 0.75, -0.44, STANDBY, NONE
2640, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
2650, 0.00, 28.00, 0.78, -0.37, STANDBY, NONE
2660, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
2670, -0.39, 27.00, 0.75, -0.41, STANDBY, NONE
2680, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
2690, 0.39, 28.00, 0.75, -0.37, STANDBY, NONE
2700, 0.00, 27.00, 0.78, -0.37, STANDBY, NONE
2710, 0.00, 27.00, 0.75, -0.41, STANDBY, NONE
2720, 0.00, 27.00, 0.85, -0.41, STANDBY, NONE
2731, 0.00, 28.00, 0.72, -0.37, STANDBY, NONE
2741, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
2751, 0.00, 27.00, 0.88, -0.37, STANDBY, NONE
2761, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
2771, -0.39, 27.00, 0.75, -0.41, STANDBY, NONE
2781, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
2791, 0.00, 27.00, 0.75, -0.41, STANDBY, NONE
2801, 0.00, 28.00, 0.96, -0.41, STANDBY, NONE
2811, 0.00, 27.00, 0.70, -0.44, STANDBY, NONE
2821, 0.00, 27.00, 0.88, -0.41, STANDBY, NONE
2831, 0.00, 28.00, 0.67, -0.41, STANDBY, NONE
2841, 0.00, 27.00, 0.75, -0.41, STANDBY, NONE
2851, 0.00, 27.00, 0.91, -0.37, STANDBY, NONE
2861, 0.00, 27.00, 0.78, -0.41, STANDBY, NONE
2871, -0.39, 28.00, 0.98, -0.41, STANDBY, NONE
2881, 0.00, 27.00, 0.75, -0.41, STANDBY, NONE
2891, -0.39, 28.00, 0.78, -0.41, STANDBY, NONE
2902, 0.00, 27.00, 0.91, -0.41, STANDBY, NONE
2912, 0.00, 28.00, 0.78, -0.37, STANDBY, NONE
2922, 0.00, 27.00, 0.70, -0.34, STANDBY, NONE
2932, 0.00, 27.00, 0.91, -0.37, STANDBY, NONE
2942, 0.00, 28.00, 0.70, -0.41, STANDBY, NONE
2952, -0.39, 27.00, 0.88, -0.37, STANDBY, NONE
2962, -0.39, 27.00, 0.72, -0.41, STANDBY, NONE
2972, 0.00, 28.00, 0.72, -0.41, STANDBY, NONE
2982, 0.00, 28.00, 0.98, -0.41, STANDBY, NONE
2992, -0.39, 27.00, 0.72, -0.37, STANDBY, NONE
3002, 0.00, 27.00, 0.88, -0.37, STANDBY, NONE
3012, 0.00, 27.00, 0.78, -0.37, STANDBY, NONE
3022, 0.00, 28.00, 0.75, -0.37, STANDBY, NONE
3032, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
3042, 0.00, 27.00, 0.75, -0.41, STANDBY, NONE
3052, 0.00, 28.00, 0.96, -0.41, STANDBY, NONE
3062, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
3072, 0.00, 27.00, 0.75, -0.37, STANDBY, NONE
3082, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
3092, -0.39, 27.00, 0.83, -0.37, STANDBY, NONE
3102, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
3112, 0.00, 27.00, 0.75, -0.41, STANDBY, NONE
3122, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
3132, -0.39, 27.00, 0.70, -0.41, STANDBY, NONE
3142, 0.00, 27.00, 0.83, -0.41, STANDBY, NONE
3152, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
3162, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
3172, -0.39, 27.00, 0.72, -0.41, STANDBY, NONE
3182, 0.00, 28.00, 1.01, -0.37, STANDBY, NONE
3192, 0.00, 27.00, 0.75, -0.37, STANDBY, NONE
3202, -0.39, 27.00, 0.91, -0.37, STANDBY, NONE
3212, -0.39, 28.00, 0.75, -0.41, STANDBY, NONE
3222, 0.00, 27.00, 0.91, -0.41, STANDBY, NONE
3232, 0.00, 27.00, 0.75, -0.41, STANDBY, NONE
3243, 0.00, 27.00, 0.75, -0.37, STANDBY, NONE
3253, 0.00, 27.00, 0.91, -0.41, STANDBY, NONE
3263, 0.00, 27.00, 0.83, -0.37, STANDBY, NONE
3273, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
3283, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
3293, -0.39, 27.00, 0.70, -0.44, STANDBY, NONE
3303, 0.00, 27.00, 0.91, -0.41, STANDBY, NONE
3313, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
3323, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
3333, -0.39, 27.00, 0.72, -0.41, STANDBY, NONE
3343, 0.00, 27.00, 0.91, -0.41, STANDBY, NONE
3353, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
3363, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
3373, 0.00, 27.00, 0.75, -0.34, STANDBY, NONE
3383, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
3393, 0.00, 27.00, 0.93, -0.41, STANDBY, NONE
3403, -0.39, 27.00, 0.72, -0.41, STANDBY, NONE
3414, -0.39, 27.00, 0.93, -0.37, STANDBY, NONE
3424, -0.39, 28.00, 0.72, -0.37, STANDBY, NONE
3434, -0.39, 27.00, 0.72, -0.37, STANDBY, NONE
3444, 0.00, 27.00, 0.88, -0.41, STANDBY, NONE
3454, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
3464, 0.00, 28.00, 0.96, -0.41, STANDBY, NONE
