=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:53:44 =~=~=~=~=~=~=~=~=~=~=~=
1054, 0.00, 27.00, 17.39, 0.21, STANDBY, NONE
1064, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1074, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1084, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1094, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
1104, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1114, 0.39, 27.00, 17.39, 0.21, STANDBY, NONE
1124, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1134, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1144, 0.00, 27.00, 17.39, 0.19, STANDBY, NONE
1154, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1164, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1174, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1184, 0.00, 27.00, 17.39, 0.21, STANDBY, NONE
1195, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1205, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1215, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1225, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
1235, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1245, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
1255, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1265, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1275, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1285, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
1295, 0.00, 27.00, 17.39, 0.21, STANDBY, NONE
1305, 0.00, 27.00, 17.39, 0.21, STANDBY, NONE
1315, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1325, 0.39, 27.00, 17.39, 0.20, STANDBY, NONE
1335, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1345, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1355, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1366, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1376, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
1386, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1396, 0.39, 27.00, 17.39, 0.20, STANDBY, NONE
1406, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1416, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1426, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1436, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
1446, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1456, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1466, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
1476, 0.39, 27.00, 17.39, 0.20, STANDBY, NONE
1486, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
1496, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1506, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
1516, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1526, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1536, -0.39, 27.00, 17.44, 0.20, STANDBY, NONE
1546, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1556, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1566, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1576, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1586, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1596, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1606, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
1616, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
1626, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1636, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1646, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1656, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
1666, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
